English,Hindi
Help,मदद (Madad)
Save me,मुझे बचाओ (Mujhe bachao)
Doctor,डॉक्टर (Doctor)
Emergency,इमरजेंसी (Emergency)
Call ambulance,एम्बुलेंस बुलाओ (Ambulance bulao)
I am hurt,मुझे चोट लगी है (Mujhe chot lagi hai)
Assist,सहायता (Sahayta)
Rescue,बचाव (Bachao)
Danger,खतरा (Khatra)
Alert,अलर्ट (Alert)
SOS,एसओएस (SOS)
Urgent,तुरंत (Urgent)
Come quick,जल्दी आओ (Jaldi Aao)
I need help,मदद चाहिए (Madad chahie)
Need assistance,सहायता करो (Sahayta karo)
Protect me,सुरक्षा करो (Suraksha karo)
Get help,मदद लाओ (Madad lao)
Call doctor,डॉक्टर बुलाओ (Doctor bulao)
I am stuck,मैं फंसा हूँ (Main fansa hoon)
Medical help,मेडिकल मदद (Medical madad)
Fire,आग (Aag)
Police,पुलिस (Police)
Call police,पुलिस बुलाओ (Police bulao)
Run,भागो (Bhago)
Stop,रुक जाओ (Ruk jao)
Save my life,मेरी जान बचाओ (Meri jaan bachao)
Evacuate,निकालो (Nikaalo)
I'm in danger,मैं खतरे में हूँ (Main khatre mein hoon)
I'm trapped,मैं फंस गया हूँ (Main fans gaya hoon)
Help me out,मुझे बाहर निकालो (Mujhe bahar nikalo)
Send help,मदद भेजो (Madad bhejo)
Flee,भाग जाओ (Bhag jao)
Call for help,मदद के लिए बुलाओ (Madad ke liye bulao)
Shelter,आश्रय (Ashraya)
Danger ahead,आगे खतरा है (Aage khatra hai)
Lost,गुम हो गया (Gum ho gaya)
Where are you?,आप कहाँ हैं? (Aap kahan hain?)
I'm lost,मैं खो गया हूँ (Main kho gaya hoon)
Need a guide,मुझे मार्गदर्शक चाहिए (Mujhe margdarshak chahiye)
Help- I'm drowning,मदद- मैं डूब रहा हूँ (Madad- main doob raha hoon)
First aid,प्राथमिक चिकित्सा (Prathmik chikitsa)
Call a friend,एक दोस्त को बुलाओ (Ek dost ko bulao)
Help me please,कृपया मेरी मदद करें (Kripya meri madad karein)
Get to safety,सुरक्षित स्थान पर जाओ (Surakshit sthan par jao)
Help- I can't breathe,मदद- मैं सांस नहीं ले पा रहा हूँ (Madad main saans nahi le paa raha hoon)
Need medical assistance,मुझे चिकित्सा सहायता चाहिए (Mujhe chikitsa sahayata chahiye)
Stay back,पीछे रहो (Peeche raho)
Get down,नीचे आओ (Neeche aao)
Help- I've been robbed,मदद- मुझे लूट लिया गया है (Madad mujhe loot liya gaya hai)
Stay calm,शांत रहो (Shant raho)
Stay together,साथ रहो (Saath raho)
Don't panic,घबराओ मत (Ghabraao mat)
Help me with directions,मुझे दिशा में मदद करें (Mujhe disha mein madad karein)
I'm feeling faint,मुझे चक्कर आ रहा है (Mujhe chakkar aa raha hai)
Help- I need water,मदद- मुझे पानी चाहिए (Madad mujhe paani chahiye)
Help- I need food,मदद- मुझे खाना चाहिए (Madad mujhe khana chahiye)
Help- I have allergies,मदद- मुझे एलर्जी है (Madad mujhe allergy hai)
Help- I have a fever,मदद- मुझे बुखार है (Madad mujhe bukhar hai)
Need a translator,मुझे अनुवादक चाहिए (Mujhe anuvaadak chahiye)
Stay with me,मेरे साथ रहो (Mere saath raho)
Take me to the hospital,मुझे अस्पताल ले चलो (Mujhe aspatal le chalo)
Help- my child is missing,मदद- मेरा बच्चा खो गया है (Madad mera bachcha kho gaya hai)
Help- I fell down,मदद- मैं गिर गया (Madad- main gir gaya)
Help- my phone is dead,मदद- मेरा फोन बंद है (Madad mera phone band hai)
Help- I need a ride,मदद- मुझे एक सवारी चाहिए (Madad mujhe ek sawaari chahiye)
Help- my car broke down,मदद- मेरी कार खराब हो गई (Madad meri car kharab ho gayi)
I feel unsafe,मुझे असुरक्षित महसूस हो रहा है (Mujhe asurakshit mehsoos ho raha hai)
Help- I can't walk,मदद- मैं चल नहीं सकता (Madad- main chal nahi sakta)
Help- I'm being followed,मदद- मुझे कोई पीछा कर रहा है (Madad mera koi peecha kar raha hai)
Help- my house is on fire,मदद- मेरा घर जल रहा है (Madad mera ghar jal raha hai)
Help- I lost my way,मदद- मैं रास्ता खो गया हूँ (Madad main rasta kho gaya hoon)
Please help,कृपया मदद करें (Kripya madad karein)
Help- I'm allergic,मदद- मुझे एलर्जी है (Madad mujhe allergy hai)
Need support,समर्थन चाहिए (Samarthan chahiye)
Help- I lost my bag,मदद- मेरा बैग खो गया (Madad mera bag kho gaya)
Help- I need directions,मदद- मुझे दिशा चाहिए (Madad mujhe disha chahiye)
Help- I have a headache,मदद- मुझे सिरदर्द है (Madad mujhe sir dard hai)
Help- I can't see,मदद- मुझे कुछ नहीं दिखाई दे रहा (Madad mujhe kuch nahi dikhai de raha)
Help- my friend is hurt,मदद- मेरा दोस्त घायल है (Madad mera dost ghayal hai)
Help- I need a doctor,मदद- मुझे डॉक्टर चाहिए (Madad mujhe doctor chahiye)
